154 IPOs,,,,,,
Filter results ,,,,,,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
IPO Date ,,,,,,
,Symbol,Company Name,IPO Price,Current,Return,
12/27/23,IROH,Iron Horse Acquisitions Corp.,$10.00,$4.09,-25.00%,"'IROH',"
12/19/23,LGCB,Linkage Global Inc,$4.00,$1.99,-50.25%,"'LGCB',"
12/15/23,BAYA,Bayview Acquisition Corp,$10.00,$11.61,16.10%,"'BAYA',"
12/15/23,ZKH,ZKH Group Limited,$15.50,$3.22,-79.23%,"'ZKH',"
12/14/23,INHD,Inno Holdings Inc.,$4.00,$0.07,-98.26%,"'INHD',"
12/04/23,AFJK,"Aimei Health Technology Co., Ltd",$10.00,$36.03,260.30%,"'AFJK',"
12/01/23,GSIW,Garden Stage Limited,$4.00,$0.13,-96.75%,"'GSIW',"
11/30/23,FEBO,Fenbo Holdings Limited,$5.00,$1.33,-73.40%,"'FEBO',"
06/09/21,CLBR,Colombier Acquisition Corp. II,$10.00,$17.24,72.40%,"'CLBR',"
11/21/23,ELAB,PMGC Holdings Inc.,$4.00,$2.26,-43.50%,"'ELAB',"
11/17/23,DDC,DDC Enterprise Limited,$8.50,$2.23,-73.77%,"'DDC',"
11/17/23,RR,Richtech Robotics Inc.,$5.00,$3.54,-29.20%,"'RR',"
11/14/23,GLAC,Global Lights Acquisition Corp,$10.00,$10.82,8.20%,"'GLAC',"
11/14/23,SGN,"Signing Day Sports, Inc.",$5.00,$1.16,-76.80%,"'SGN',"
11/14/23,SHIM,Shimmick Corporation,$7.00,$2.75,-60.71%,"'SHIM',"
11/10/23,CRGX,"CARGO Therapeutics, Inc.",$15.00,$4.47,-70.20%,"'CRGX',"
11/10/23,HG,"Hamilton Insurance Group, Ltd.",$15.00,$28.25,88.33%,"'HG',"
11/09/23,AITR,AI Transportation Acquisition Corp,$10.00,$11.00,10.00%,"'AITR',"
11/09/23,ANSC,Agriculture & Natural Solutions Acquisition Corporation,$10.00,$11.17,11.65%,"'ANSC',"
11/08/23,GVH,Globavend Holdings Limited,$4.00,$3.19,-20.28%,"'GVH',"
11/03/23,LXEO,"Lexeo Therapeutics, Inc.",$11.00,$10.35,-5.91%,"'LXEO',"
11/01/23,PAPL,Pineapple Financial Inc.,$4.00,$2.46,-38.50%,"'PAPL',"
10/31/23,ATGL,Alpha Technology Group Limited,$4.00,$23.16,479.00%,"'ATGL',"
10/25/23,MNR,Mach Natural Resources LP,$19.00,$11.14,-41.37%,"'MNR',"
10/19/23,NCL,Northann Corp.,$5.00,$0.27,-94.56%,"'NCL',"
10/19/23,WBUY,Webuy Global Ltd,$4.00,$1.80,-55.00%,"'WBUY',"
10/11/23,BIRK,Birkenstock Holding plc,$46.00,$42.57,-7.46%,"'BIRK',"
10/10/23,GMM,Global Mofy AI Limited,$5.00,$1.35,-73.00%,"'GMM',"
10/10/23,LRHC,La Rosa Holdings Corp.,$5.00,$0.76,-84.76%,"'LRHC',"
10/10/23,PMEC,Primech Holdings Ltd.,$4.00,$1.07,-73.25%,"'PMEC',"
10/09/23,GPAK,Gamer Pakistan Inc.,$4.00,$0.01,-99.79%,"'GPAK',"
10/06/23,QETA,Quetta Acquisition Corporation,$10.00,$11.34,13.40%,"'QETA',"
10/06/23,SPKL,Spark I Acquisition Corporation,$10.00,$11.30,13.00%,"'SPKL',"
10/05/23,MSS,Maison Solutions Inc.,$4.00,$0.49,-87.81%,"'MSS',"
09/29/23,ANL,Adlai Nortye Ltd.,$23.00,$1.52,-93.39%,"'ANL',"
09/29/23,SYRA,Syra Health Corp.,$4.13,$0.10,-97.40%,"'SYRA',"
09/28/23,VSME,VS MEDIA Holdings Limited,$5.00,$0.09,-98.27%,"'VSME',"
09/27/23,LRE,"Lead Real Estate Co., Ltd",$7.00,$1.40,-80.00%,"'LRE',"
09/22/23,TURB,"Turbo Energy, S.A.",$5.00,$0.91,-81.80%,"'TURB',"
09/21/23,MDBH,"MDB Capital Holdings, LLC",$12.00,$3.39,-71.75%,"'MDBH',"
09/20/23,KVYO,"Klaviyo, Inc.",$30.00,$31.95,6.50%,"'KVYO',"
09/19/23,CART,Maplebear Inc.,$30.00,$45.94,53.13%,"'CART',"
09/19/23,DTCK,Davis Commodities Limited,$4.00,$0.26,-93.47%,"'DTCK',"
09/15/23,NMRA,"Neumora Therapeutics, Inc.",$17.00,$1.75,-89.71%,"'NMRA',"
09/15/23,RYZB,"RayzeBio, Inc.",$18.00,$62.49,247.17%,"'RYZB',"
09/14/23,ARM,Arm Holdings plc,$51.00,$114.03,123.59%,"'ARM',"
09/13/23,SPPL,Simpple Ltd.,$5.25,$4.60,-12.38%,"'SPPL',"
09/12/23,NWGL,Nature Wood Group Limited,$9.00,$1.29,-85.67%,"'NWGL',"
09/07/23,AXG,Solowin Holdings,-,$4.21,-,"'AXG',"
08/30/23,IVP,"Inspire Veterinary Partners, Inc.",$4.00,$0.05,-98.81%,"'IVP',"
08/18/23,NNAG,99 Acquisition Group Inc.,$10.00,$10.55,5.50%,"'NNAG',"
08/15/23,SPGC,"Sacks Parente Golf, Inc.",$4.00,$3.00,-97.50%,"'SPGC',"
08/15/23,SRM,SRM Contractors Limited,$5.00,$10.18,106.00%,"'SRM',"
08/10/23,LQR,LQR House Inc.,$5.00,$1.15,-77.00%,"'LQR',"
08/09/23,NRXS,"NeurAxis, Inc.",$6.00,$3.22,-46.33%,"'NRXS',"
08/08/23,FTEL,Fitell Corporation,$5.00,$0.64,-87.20%,"'FTEL',"
08/03/23,MIRA,"MIRA Pharmaceuticals, Inc.",$7.00,$1.63,-76.71%,"'MIRA',"
08/01/23,CTNT,Cheetah Net Supply Chain Service Inc.,$4.00,$1.28,-68.00%,"'CTNT',"
08/01/23,HRYU,"Hanryu Holdings, Inc.",$10.00,$0.29,-97.12%,"'HRYU',"
08/01/23,PXDT,"Pixie Dust Technologies, Inc.",$9.00,$0.58,-93.56%,"'PXDT',"
07/27/23,PRZO,ParaZero Technologies Ltd.,$4.00,$1.15,-71.25%,"'PRZO',"
