Filename,Ticker,Filed Date,Blob URL,Blob Pathname,Size (MB),Status,Error
ADAC_2025-12-18_0001104659_25_122671.pdf,ADAC,2025-12-18,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ADAC_2025-12-18_0001104659_25_122671.pdf,filings/424b4/ADAC_2025-12-18_0001104659_25_122671.pdf,3.57,success,""
AEAQ_2025-12-05_0001213900_25_118488.pdf,AEAQ,2025-12-05,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/AEAQ_2025-12-05_0001213900_25_118488.pdf,filings/424b4/AEAQ_2025-12-05_0001213900_25_118488.pdf,4.51,success,""
ANDG_2025-12-17_0001193125_25_322948.pdf,ANDG,2025-12-17,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/ANDG_2025-12-17_0001193125_25_322948.pdf,filings/424b4/ANDG_2025-12-17_0001193125_25_322948.pdf,10.42,success,""
ANRO_2024-02-05_0001193125_24_023429.pdf,ANRO,2024-02-05,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
BEBE_2025-12-19_0001213900_25_123488.pdf,BEBE,2025-12-19,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BEBE_2025-12-19_0001213900_25_123488.pdf,filings/424b4/BEBE_2025-12-19_0001213900_25_123488.pdf,3.26,success,""
BETA_2025-11-04_0001193125_25_265029.pdf,BETA,2025-11-04,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BETA_2025-11-04_0001193125_25_265029.pdf,filings/424b4/BETA_2025-11-04_0001193125_25_265029.pdf,18.37,success,""
BIXI_2025-12-02_0001829126_25_009591.pdf,BIXI,2025-12-02,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BIXI_2025-12-02_0001829126_25_009591.pdf,filings/424b4/BIXI_2025-12-02_0001829126_25_009591.pdf,4.55,success,""
BLLN_2025-11-06_0001193125_25_270155.pdf,BLLN,2025-11-06,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BLLN_2025-11-06_0001193125_25_270155.pdf,filings/424b4/BLLN_2025-11-06_0001193125_25_270155.pdf,17.38,success,""
BLRK_2025-12-11_0001213900_25_120856.pdf,BLRK,2025-12-11,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BLRK_2025-12-11_0001213900_25_120856.pdf,filings/424b4/BLRK_2025-12-11_0001213900_25_120856.pdf,4.11,success,""
BPAC_2025-11-12_0001185185_25_001681.pdf,BPAC,2025-11-12,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/BPAC_2025-11-12_0001185185_25_001681.pdf,filings/424b4/BPAC_2025-11-12_0001185185_25_001681.pdf,3.34,success,""
BTSG_2024-01-26_0001193125_24_016841.pdf,BTSG,2024-01-26,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
BTSG_2024-01-26_0001193125_24_016846.pdf,BTSG,2024-01-26,,,0.00,error,"Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite"
CCXI_2025-12-17_0001213900_25_122808.pdf,CCXI,2025-12-17,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/CCXI_2025-12-17_0001213900_25_122808.pdf,filings/424b4/CCXI_2025-12-17_0001213900_25_122808.pdf,3.56,success,""
CDNL_2025-12-10_0001213900_25_120076.pdf,CDNL,2025-12-10,https://pfrilrbw7rdy0sj5.public.blob.vercel-storage.com/filings/424b4/CDNL_2025-12-10_0001213900_25_120076.pdf,filings/424b4/CDNL_2025-12-10_0001213900_25_120076.pdf,10.60,success,""
